File 			 Kernel 			 Threads 			 Time(s)
1080p/Playboy.jpg		3				4				0.1338
1080p/Playboy.jpg		3				8				0.1340
1080p/Playboy.jpg		3				16				0.1321
1080p/Playboy.jpg		5				1				1.1144
1080p/Playboy.jpg		5				2				0.5628
1080p/Playboy.jpg		5				4				0.3018
1080p/Playboy.jpg		5				8				0.2847
1080p/Playboy.jpg		5				16				0.3035
1080p/Playboy.jpg		7				1				2.0746
1080p/Playboy.jpg		7				2				1.0420
1080p/Playboy.jpg		7				4				0.5643
1080p/Playboy.jpg		7				8				0.5225
1080p/Playboy.jpg		7				16				0.5187
1080p/Playboy.jpg		9				1				3.5567
1080p/Playboy.jpg		9				2				1.7671
1080p/Playboy.jpg		9				4				0.9349
1080p/Playboy.jpg		9				8				0.8565
1080p/Playboy.jpg		9				16				0.8824
1080p/Playboy.jpg		11				1				5.7665
1080p/Playboy.jpg		11				2				2.6166
1080p/Playboy.jpg		11				4				1.9471
1080p/Playboy.jpg		11				8				1.2573
1080p/Playboy.jpg		11				16				1.2543
1080p/Playboy.jpg		13				1				7.1571
1080p/Playboy.jpg		13				2				3.5767
1080p/Playboy.jpg		13				4				1.9002
1080p/Playboy.jpg		13				8				1.8187
1080p/Playboy.jpg		13				16				1.7476
1080p/Playboy.jpg		15				1				9.4509
1080p/Playboy.jpg		15				2				4.9717
1080p/Playboy.jpg		15				4				2.5841
1080p/Playboy.jpg		15				8				2.2905
1080p/Playboy.jpg		15				16				2.3303
1080p/Pulp1080.jpg		3				1				0.4785
1080p/Pulp1080.jpg		3				2				0.3019
1080p/Pulp1080.jpg		3				4				0.1378
1080p/Pulp1080.jpg		3				8				0.1309
1080p/Pulp1080.jpg		3				16				0.1305
1080p/Pulp1080.jpg		5				1				1.1216
1080p/Pulp1080.jpg		5				2				0.5661
1080p/Pulp1080.jpg		5				4				0.5346
1080p/Pulp1080.jpg		5				8				0.2883
1080p/Pulp1080.jpg		5				16				0.3034
1080p/Pulp1080.jpg		7				1				2.0743
1080p/Pulp1080.jpg		7				2				1.0439
1080p/Pulp1080.jpg		7				4				0.9937
1080p/Pulp1080.jpg		7				8				0.5236
1080p/Pulp1080.jpg		7				16				0.5301
1080p/Pulp1080.jpg		9				1				3.5183
1080p/Pulp1080.jpg		9				2				1.8068
1080p/Pulp1080.jpg		9				4				1.6386
1080p/Pulp1080.jpg		9				8				0.8594
1080p/Pulp1080.jpg		9				16				0.8778
1080p/Pulp1080.jpg		11				1				5.1908
1080p/Pulp1080.jpg		11				2				2.6620
1080p/Pulp1080.jpg		11				4				2.4101
1080p/Pulp1080.jpg		11				8				1.2628
1080p/Pulp1080.jpg		11				16				1.2730
1080p/Pulp1080.jpg		13				1				7.1858
1080p/Pulp1080.jpg		13				2				3.5627
1080p/Pulp1080.jpg		13				4				1.8947
1080p/Pulp1080.jpg		13				8				1.7358
1080p/Pulp1080.jpg		13				16				1.7885
1080p/Pulp1080.jpg		15				1				9.5211
1080p/Pulp1080.jpg		15				2				4.7496
1080p/Pulp1080.jpg		15				4				2.5559
1080p/Pulp1080.jpg		15				8				2.2920
1080p/Pulp1080.jpg		15				16				2.2938
1080p/RevengeOfTheSith.jpg		3				1				0.4796
1080p/RevengeOfTheSith.jpg		3				2				0.2552
1080p/RevengeOfTheSith.jpg		3				4				0.2309
1080p/RevengeOfTheSith.jpg		3				8				0.1279
1080p/RevengeOfTheSith.jpg		3				16				0.1371
1080p/RevengeOfTheSith.jpg		5				1				1.1254
1080p/RevengeOfTheSith.jpg		5				2				0.5686
1080p/RevengeOfTheSith.jpg		5				4				0.3088
1080p/RevengeOfTheSith.jpg		5				8				0.2881
1080p/RevengeOfTheSith.jpg		5				16				0.3038
1080p/RevengeOfTheSith.jpg		7				1				2.0749
1080p/RevengeOfTheSith.jpg		7				2				1.0498
1080p/RevengeOfTheSith.jpg		7				4				0.9934
1080p/RevengeOfTheSith.jpg		7				8				0.5269
1080p/RevengeOfTheSith.jpg		7				16				0.5474
1080p/RevengeOfTheSith.jpg		9				1				3.5243
1080p/RevengeOfTheSith.jpg		9				2				1.7762
1080p/RevengeOfTheSith.jpg		9				4				0.9395
1080p/RevengeOfTheSith.jpg		9				8				0.8624
1080p/RevengeOfTheSith.jpg		9				16				0.8759
1080p/RevengeOfTheSith.jpg		11				1				5.1947
1080p/RevengeOfTheSith.jpg		11				2				2.6107
1080p/RevengeOfTheSith.jpg		11				4				1.3781
1080p/RevengeOfTheSith.jpg		11				8				1.2641
1080p/RevengeOfTheSith.jpg		11				16				1.2696
1080p/RevengeOfTheSith.jpg		13				1				7.1270
1080p/RevengeOfTheSith.jpg		13				2				3.5764
