File 			 Kernel 			 Threads 			 Time(s)
1080p/Playboy.jpg		15				4				4.2453
1080p/Playboy.jpg		15				8				2.2614
1080p/Playboy.jpg		15				16				2.3234
1080p/Pulp1080.jpg		3				1				0.4897
1080p/Pulp1080.jpg		3				2				0.2489
1080p/Pulp1080.jpg		3				4				0.2319
1080p/Pulp1080.jpg		3				8				0.1278
1080p/Pulp1080.jpg		3				16				0.1326
1080p/Pulp1080.jpg		5				1				1.1309
1080p/Pulp1080.jpg		5				2				0.5713
1080p/Pulp1080.jpg		5				4				0.5354
1080p/Pulp1080.jpg		5				8				0.2837
1080p/Pulp1080.jpg		5				16				0.3047
1080p/Pulp1080.jpg		7				1				2.1129
1080p/Pulp1080.jpg		7				2				1.0527
1080p/Pulp1080.jpg		7				4				0.9825
1080p/Pulp1080.jpg		7				8				0.5179
1080p/Pulp1080.jpg		7				16				0.5465
1080p/Pulp1080.jpg		9				1				3.5027
1080p/Pulp1080.jpg		9				2				1.7602
1080p/Pulp1080.jpg		9				4				0.9866
1080p/Pulp1080.jpg		9				8				0.8507
1080p/Pulp1080.jpg		9				16				0.8582
1080p/Pulp1080.jpg		11				1				5.1801
1080p/Pulp1080.jpg		11				2				2.6060
1080p/Pulp1080.jpg		11				4				1.3832
1080p/Pulp1080.jpg		11				8				1.2439
1080p/Pulp1080.jpg		11				16				1.2776
1080p/Pulp1080.jpg		13				1				7.1439
1080p/Pulp1080.jpg		13				2				3.5919
1080p/Pulp1080.jpg		13				4				2.5147
1080p/Pulp1080.jpg		13				8				1.7181
1080p/Pulp1080.jpg		13				16				1.7741
1080p/Pulp1080.jpg		15				1				9.4270
1080p/Pulp1080.jpg		15				2				4.7432
1080p/Pulp1080.jpg		15				4				2.6884
1080p/Pulp1080.jpg		15				8				2.2641
1080p/Pulp1080.jpg		15				16				2.2864
1080p/RevengeOfTheSith.jpg		3				1				0.4898
1080p/RevengeOfTheSith.jpg		3				2				0.2510
1080p/RevengeOfTheSith.jpg		3				4				0.2335
1080p/RevengeOfTheSith.jpg		3				8				0.1301
1080p/RevengeOfTheSith.jpg		3				16				0.1414
1080p/RevengeOfTheSith.jpg		5				1				1.1352
1080p/RevengeOfTheSith.jpg		5				2				0.5730
1080p/RevengeOfTheSith.jpg		5				4				0.5367
1080p/RevengeOfTheSith.jpg		5				8				0.3001
1080p/RevengeOfTheSith.jpg		5				16				0.3147
1080p/RevengeOfTheSith.jpg		7				1				2.0970
1080p/RevengeOfTheSith.jpg		7				2				1.0536
1080p/RevengeOfTheSith.jpg		7				4				0.9851
1080p/RevengeOfTheSith.jpg		7				8				0.5201
1080p/RevengeOfTheSith.jpg		7				16				0.5297
1080p/RevengeOfTheSith.jpg		9				1				3.5067
1080p/RevengeOfTheSith.jpg		9				2				1.8303
1080p/RevengeOfTheSith.jpg		9				4				1.6250
1080p/RevengeOfTheSith.jpg		9				8				0.8512
1080p/RevengeOfTheSith.jpg		9				16				0.8639
1080p/RevengeOfTheSith.jpg		11				1				5.2075
1080p/RevengeOfTheSith.jpg		11				2				2.6130
1080p/RevengeOfTheSith.jpg		11				4				2.3804
1080p/RevengeOfTheSith.jpg		11				8				1.3124
1080p/RevengeOfTheSith.jpg		11				16				1.2913
1080p/RevengeOfTheSith.jpg		13				1				7.1318
1080p/RevengeOfTheSith.jpg		13				2				3.5679
1080p/RevengeOfTheSith.jpg		13				4				3.2891
1080p/RevengeOfTheSith.jpg		13				8				1.7156
1080p/RevengeOfTheSith.jpg		13				16				1.7299
1080p/RevengeOfTheSith.jpg		15				1				9.4235
1080p/RevengeOfTheSith.jpg		15				2				4.7418
1080p/RevengeOfTheSith.jpg		15				4				4.3430
1080p/RevengeOfTheSith.jpg		15				8				2.2657
1080p/RevengeOfTheSith.jpg		15				16				2.2818
1080p/rhcp.jpg		3				1				0.4892
1080p/rhcp.jpg		3				2				0.2618
1080p/rhcp.jpg		3				4				0.2325
1080p/rhcp.jpg		3				8				0.1281
1080p/rhcp.jpg		3				16				0.1362
1080p/rhcp.jpg		5				1				1.1312
1080p/rhcp.jpg		5				2				0.5803
1080p/rhcp.jpg		5				4				0.3073
1080p/rhcp.jpg		5				8				0.2840
1080p/rhcp.jpg		5				16				0.3094
1080p/rhcp.jpg		7				1				2.0932
1080p/rhcp.jpg		7				2				1.0933
1080p/rhcp.jpg		7				4				0.5590
1080p/rhcp.jpg		7				8				0.5172
1080p/rhcp.jpg		7				16				0.5498
1080p/rhcp.jpg		9				1				3.4993
1080p/rhcp.jpg		9				2				1.7589
1080p/rhcp.jpg		9				4				0.9551
1080p/rhcp.jpg		9				8				0.8494
1080p/rhcp.jpg		9				16				0.8842
1080p/rhcp.jpg		11				1				5.1780
1080p/rhcp.jpg		11				2				2.7147
1080p/rhcp.jpg		11				4				2.3095
1080p/rhcp.jpg		11				8				1.2445
1080p/rhcp.jpg		11				16				1.2650
1080p/rhcp.jpg		13				1				7.1119
1080p/rhcp.jpg		13				2				3.5877
1080p/rhcp.jpg		13				4				2.0372
1080p/rhcp.jpg		13				8				1.7153
1080p/rhcp.jpg		13				16				1.7488
1080p/rhcp.jpg		15				1				9.4226
1080p/rhcp.jpg		15				2				4.7313
1080p/rhcp.jpg		15				4				2.7115
1080p/rhcp.jpg		15				8				2.2646
1080p/rhcp.jpg		15				16				2.2788
1080p/Shining.jpg		3				1				0.4902
1080p/Shining.jpg		3				2				0.2508
1080p/Shining.jpg		3				4				0.2308
1080p/Shining.jpg		3				8				0.1272
1080p/Shining.jpg		3				16				0.1455
1080p/Shining.jpg		5				1				1.1318
1080p/Shining.jpg		5				2				0.6707
1080p/Shining.jpg		5				4				0.5312
1080p/Shining.jpg		5				8				0.2833
1080p/Shining.jpg		5				16				0.2956
1080p/Shining.jpg		7				1				2.0938
1080p/Shining.jpg		7				2				1.0539
1080p/Shining.jpg		7				4				0.9805
1080p/Shining.jpg		7				8				0.5230
1080p/Shining.jpg		7				16				0.5413
1080p/Shining.jpg		9				1				3.5059
1080p/Shining.jpg		9				2				1.7575
1080p/Shining.jpg		9				4				1.6219
1080p/Shining.jpg		9				8				0.8492
1080p/Shining.jpg		9				16				0.8635
1080p/Shining.jpg		11				1				5.2691
1080p/Shining.jpg		11				2				2.6194
1080p/Shining.jpg		11				4				1.3799
1080p/Shining.jpg		11				8				1.2650
1080p/Shining.jpg		11				16				1.2907
1080p/Shining.jpg		13				1				7.2123
1080p/Shining.jpg		13				2				3.5698
1080p/Shining.jpg		13				4				3.2879
1080p/Shining.jpg		13				8				1.7141
1080p/Shining.jpg		13				16				1.7662
1080p/Shining.jpg		15				1				9.4265
1080p/Shining.jpg		15				2				4.8431
1080p/Shining.jpg		15				4				4.3418
1080p/Shining.jpg		15				8				2.2626
1080p/Shining.jpg		15				16				2.2895
1080p/snatch.jpg		3				1				0.5064
1080p/snatch.jpg		3				2				0.3044
1080p/snatch.jpg		3				4				0.2088
1080p/snatch.jpg		3				8				0.1459
1080p/snatch.jpg		3				16				0.1545
1080p/snatch.jpg		5				1				1.1477
1080p/snatch.jpg		5				2				0.6066
1080p/snatch.jpg		5				4				0.5394
1080p/snatch.jpg		5				8				0.3014
1080p/snatch.jpg		5				16				0.3180
1080p/snatch.jpg		7				1				2.1105
1080p/snatch.jpg		7				2				1.1007
1080p/snatch.jpg		7				4				0.9976
1080p/snatch.jpg		7				8				0.5334
1080p/snatch.jpg		7				16				0.5567
1080p/snatch.jpg		9				1				3.5224
1080p/snatch.jpg		9				2				1.7774
1080p/snatch.jpg		9				4				1.3102
1080p/snatch.jpg		9				8				0.9117
1080p/snatch.jpg		9				16				0.8855
1080p/snatch.jpg		11				1				5.2016
1080p/snatch.jpg		11				2				2.6597
1080p/snatch.jpg		11				4				2.4030
1080p/snatch.jpg		11				8				1.2597
1080p/snatch.jpg		11				16				1.3266
1080p/snatch.jpg		13				1				7.1435
1080p/snatch.jpg		13				2				3.6010
1080p/snatch.jpg		13				4				3.3020
1080p/snatch.jpg		13				8				1.7314
1080p/snatch.jpg		13				16				1.7767
1080p/snatch.jpg		15				1				9.4347
1080p/snatch.jpg		15				2				4.8098
1080p/snatch.jpg		15				4				4.6088
1080p/snatch.jpg		15				8				2.2797
1080p/snatch.jpg		15				16				2.3376
1080p/snowpiercer.jpg		3				1				0.4948
1080p/snowpiercer.jpg		3				2				0.2549
1080p/snowpiercer.jpg		3				4				0.1421
1080p/snowpiercer.jpg		3				8				0.1321
1080p/snowpiercer.jpg		3				16				0.1485
1080p/snowpiercer.jpg		5				1				1.1372
1080p/snowpiercer.jpg		5				2				0.5766
1080p/snowpiercer.jpg		5				4				0.3122
1080p/snowpiercer.jpg		5				8				0.3031
1080p/snowpiercer.jpg		5				16				0.3439
1080p/snowpiercer.jpg		7				1				2.1404
1080p/snowpiercer.jpg		7				2				1.1693
1080p/snowpiercer.jpg		7				4				0.9898
1080p/snowpiercer.jpg		7				8				0.5212
1080p/snowpiercer.jpg		7				16				0.5366
1080p/snowpiercer.jpg		9				1				3.5072
1080p/snowpiercer.jpg		9				2				1.7924
1080p/snowpiercer.jpg		9				4				0.9378
1080p/snowpiercer.jpg		9				8				0.8541
1080p/snowpiercer.jpg		9				16				0.9128
1080p/snowpiercer.jpg		11				1				5.2008
1080p/snowpiercer.jpg		11				2				2.6281
1080p/snowpiercer.jpg		11				4				2.3885
1080p/snowpiercer.jpg		11				8				1.2505
1080p/snowpiercer.jpg		11				16				1.2782
1080p/snowpiercer.jpg		13				1				7.1474
1080p/snowpiercer.jpg		13				2				3.6085
1080p/snowpiercer.jpg		13				4				1.8968
1080p/snowpiercer.jpg		13				8				1.7195
1080p/snowpiercer.jpg		13				16				1.7814
1080p/snowpiercer.jpg		15				1				9.5044
1080p/snowpiercer.jpg		15				2				4.8075
1080p/snowpiercer.jpg		15				4				2.5521
1080p/snowpiercer.jpg		15				8				2.2701
1080p/snowpiercer.jpg		15				16				2.3332
1080p/United.jpg		3				1				0.4918
1080p/United.jpg		3				2				0.2517
1080p/United.jpg		3				4				0.1397
1080p/United.jpg		3				8				0.1300
1080p/United.jpg		3				16				0.1322
1080p/United.jpg		5				1				1.1470
1080p/United.jpg		5				2				0.5745
1080p/United.jpg		5				4				0.5351
1080p/United.jpg		5				8				0.2869
1080p/United.jpg		5				16				0.2997
1080p/United.jpg		7				1				2.1050
1080p/United.jpg		7				2				1.0517
1080p/United.jpg		7				4				0.5623
1080p/United.jpg		7				8				0.5194
1080p/United.jpg		7				16				0.5429
1080p/United.jpg		9				1				3.8534
1080p/United.jpg		9				2				1.7629
1080p/United.jpg		9				4				1.1700
1080p/United.jpg		9				8				0.8532
1080p/United.jpg		9				16				0.9115
1080p/United.jpg		11				1				5.2686
1080p/United.jpg		11				2				2.8469
1080p/United.jpg		11				4				2.3833
1080p/United.jpg		11				8				1.2457
1080p/United.jpg		11				16				1.2956
1080p/United.jpg		13				1				7.1219
1080p/United.jpg		13				2				3.8212
1080p/United.jpg		13				4				1.8982
1080p/United.jpg		13				8				1.7172
1080p/United.jpg		13				16				1.8113
1080p/United.jpg		15				1				9.4125
1080p/United.jpg		15				2				4.7813
1080p/United.jpg		15				4				3.1092
1080p/United.jpg		15				8				2.2655
1080p/United.jpg		15				16				2.3302
